signal_time,entry_datetime,entry_month,entry_time,entry_price,entry_spread,vix_at_entry,vix_at_entry_time,indicator,exit_datetime,exit_spread,exit_price,exit_reason,sl_price,price_difference,pnl,expiry,opttype,buy_leg_strike,sell_leg_strike,buy_leg_entry_price,sell_leg_entry_price,buy_leg_exit_price,sell_leg_exit_price,max_profit_time,max_profit_pnl,min_profit_time,min_profit_pnl
2022-03-17 15:15:00,2022-03-21 09:16:00,March,09:16:00,17335.7,72.75,23.56,2022-03-21T09:16:00.000000,vix_higher_than_threshold,2022-03-21 09:17:00,79.50000000000001,17282.3,stop_loss,17309.69645,-27.396450000000186,-337.5000000000007,2022-03-24,PE,17150,17350,109.25,182.0,123.05,202.55,2022-03-21 09:16:00,-54.999999999999716,2022-03-21 09:17:00,-337.5000000000007
2022-03-22 13:45:00,2022-03-22 14:01:00,March,14:01:00,17315.7,66.95,23.86,2022-03-22T14:01:00.000000,vix_higher_than_threshold,2022-03-22 14:07:00,72.0,17283.35,stop_loss,17289.726450000002,-6.376450000003388,-252.49999999999986,2022-03-24,PE,17100,17300,60.75,127.7,67.6,139.6,2022-03-22 14:01:00,-14.999999999999503,2022-03-22 14:07:00,-252.49999999999986
2022-03-22 15:00:00,2022-03-22 15:16:00,March,15:16:00,17316.9,62.8,24.0,2022-03-22T15:16:00.000000,vix_higher_than_threshold,2022-03-23 11:59:00,49.5,17290.65,stop_loss,17290.92465,-0.274649999999383,664.9999999999999,2022-03-24,PE,17100,17300,55.95,118.75,32.3,81.8,2022-03-23 09:51:00,1395.0,2022-03-23 10:27:00,-55.00000000000007
2022-03-29 10:45:00,2022-03-29 11:01:00,March,11:01:00,17290.55,56.5,21.88,2022-03-29T11:01:00.000000,vix_higher_than_threshold,2022-03-29 11:40:00,63.75,17259.25,stop_loss,17264.614175,-5.364174999998795,-362.5,2022-03-31,PE,17100,17300,37.55,94.05,43.05,106.8,2022-03-29 11:04:00,87.50000000000036,2022-03-29 11:39:00,-402.4999999999999
2022-03-29 12:15:00,2022-03-29 12:31:00,March,12:31:00,17275.6,57.800000000000004,21.67,2022-03-29T12:31:00.000000,vix_higher_than_threshold,2022-03-29 13:15:00,56.45,17238.0,stop_loss,17249.686599999997,-11.68659999999727,67.50000000000007,2022-03-31,PE,17100,17300,38.4,96.2,37.25,93.7,2022-03-29 13:12:00,657.5000000000002,2022-03-29 13:15:00,67.50000000000007
2022-03-29 14:00:00,2022-03-29 14:16:00,March,14:16:00,17279.65,55.74999999999999,21.5,2022-03-29T14:16:00.000000,vix_higher_than_threshold,2022-03-30 12:01:00,13.4,17503.6,time_exit,17253.730525000003,249.86947499999587,2117.4999999999995,2022-03-31,PE,17100,17300,33.6,89.35,8.35,21.75,2022-03-30 11:10:00,2192.4999999999995,2022-03-30 11:46:00,2085.0
2022-03-30 13:00:00,2022-03-30 13:16:00,March,13:16:00,17496.9,44.0,20.38,2022-03-30T13:16:00.000000,vix_higher_than_threshold,2022-03-30 13:44:00,56.8,17448.75,stop_loss,17470.65465,-21.9046500000004,-640.0,2022-03-31,PE,17300,17500,19.0,63.0,22.2,79.0,2022-03-30 13:20:00,29.999999999999893,2022-03-30 13:44:00,-640.0
2022-03-30 14:15:00,2022-03-30 14:31:00,March,14:31:00,17482.65,52.400000000000006,20.7,2022-03-30T14:31:00.000000,vix_higher_than_threshold,2022-03-31 12:16:00,41.75,17476.7,time_exit,17456.426025,20.273975000000064,532.5,2022-03-31,PE,17300,17500,18.3,70.7,2.85,44.6,2022-03-31 09:52:00,1620.0,2022-03-31 12:11:00,-249.99999999999974
2022-04-01 13:15:00,2022-04-01 13:31:00,April,13:31:00,17568.15,64.75,19.36,2022-04-01T13:31:00.000000,vix_higher_than_threshold,2022-04-04 11:16:00,9.2,17990.35,time_exit,17541.797775000003,448.5522249999958,2777.5,2022-04-07,PE,17350,17550,70.35,135.1,12.75,21.95,2022-04-04 10:40:00,2837.5000000000005,2022-04-04 11:10:00,2722.5
2022-04-04 13:00:00,2022-04-04 13:16:00,April,13:16:00,17972.3,60.8,18.28,2022-04-04T13:16:00.000000,vix_higher_than_threshold,2022-04-05 11:01:00,47.49999999999999,18008.85,time_exit,17945.34155,63.50844999999754,665.0000000000002,2022-04-07,PE,17750,17950,43.45,104.25,24.35,71.85,2022-04-05 09:29:00,1439.9999999999998,2022-04-05 10:41:00,62.5
